doi,title,abstract,authors,venue,year,citations,url,pdf_url,paperId
10.1109/tr.2019.2948713,Cryptographic Attribute-Based Access Control (ABAC) for Secure Decision Making of Dynamic Policy With Multiauthority Attribute Tokens,"This article aims to establish a cryptographic solution to improve security and reliability of the National Institute of Standards and Technology's attribute-based access control (ABAC) model. By breaking down the existing structure of attribute-based encryption, we propose a new cryptographic ABAC (C-ABAC) framework with dynamic policy authorization and real-time attribute credentials. Moreover, a practical C-ABAC construction is proposed to support provable policy decision making and verifiable attribute Tokens among multiple distributed authorities. In this construction, we develop a concrete approach of generating a cryptographic policy from access control markup language. We also prove that attribute Token has existential unforgeability under chosen-attribute and chosen-nonce attacks, and the cryptographic policy is existentially unforgeable under chosen-object attack. In addition, our C-ABAC construction provides semantic security against chosen-plaintext attack with Token and policy queries under the extended general Diffie-Hellman exponent assumption. Finally, we evaluate the performance of the C-ABAC system according to complexity analysis and experimental results. The results show that the C-ABAC system is reliable and easy to implement.",Yan Zhu; Ruyun Yu; Di Ma; William Cheng‐Chung Chu,IEEE Transactions on Reliability,2019,24,https://openalex.org/W2991617858,,W2991617858
10.3390/s20061741,An Efficient Attribute-Based Access Control (ABAC) Policy Retrieval Method Based on Attribute and Value Levels in Multimedia Networks,"Internet of Multimedia Things (IoMT) brings convenient and intelligent services while also bringing huge challenges to multimedia data security and privacy. Access control is used to protect the confidentiality and integrity of restricted resources. Attribute-Based Access Control (ABAC) implements fine-grained control of resources in an open heterogeneous IoMT environment. However, due to numerous users and policies in ABAC, access control policy evaluation is inefficient, which affects the quality of multimedia application services in the Internet of Things (IoT). This paper proposed an efficient policy retrieval method to improve the performance of access control policy evaluation in multimedia networks. First, retrieve policies that satisfy the request at the attribute level by computing based on the binary identifier. Then, at the attribute value level, the depth index was introduced to reconstruct the policy decision tree, thereby improving policy retrieval efficiency. This study carried out simulation experiments in terms of the different number of policies and different policy complexity situation. The results showed that the proposed method was three to five times more efficient in access control policy evaluation and had stronger scalability.",Meiping Liu; Cheng Yang; Hao Li; Yana Zhang,Sensors,2020,21,https://openalex.org/W3010950582,https://www.mdpi.com/1424-8220/20/6/1741/pdf?version=1585627784,W3010950582
10.1007/978-1-4614-7873-7_3,ABAC: Attribute-Based Access Control,,Kan Yang; Xiaohua Jia,SpringerBriefs in computer science,2013,11,https://openalex.org/W200644948,,W200644948
10.4018/ijssmet.2019100105,An Extended Attribute-Based Access Control (ABAC) Model for Distributed Collaborative Healthcare System,"The healthcare system is a real example of a distributed collaborative system, which aims to improve the patient's healthcare. The most important requirements of the healthcare system are the sensitivity of the medical data processed, large numbers of medical and para-medical interveners, as well as the medical treatment activity is a non-static process. Protecting data from unauthorized access and data sharing security in the healthcare environment is a critical process that influences system credibility. To achieve this goal and to meet the requirements of the healthcare system, the authors propose an extended Attribute-Based Access Control (ABAC) model by introducing the medical activity concept. This article defines the medical activity concept as an abstraction of collaboration in a care unit, defined by a medical activity purpose, in which the collaborators (or actors) realize their tasks in order to achieve the treatment purpose. The current access control model ABAC and these variants do not take into account the (business process) activity concept in the decision mechanism. In this paper, the authors propose a new access control model, called Medical-Activity-Attribute-Based Access Control (MA-ABAC), which can effectively enhance the security for healthcare system and produce more perfect and flexible mechanism of access control; order to strongly respond to the requirements of the distributed healthcare environment.",Rabie Barhoun; Maryam Ed-daibouni; Abdelwahed Namir,International Journal of Service Science Management Engineering and Technology,2019,20,https://openalex.org/W2960904101,,W2960904101
10.1007/978-3-319-25645-0_14,MT-ABAC: A Multi-Tenant Attribute-Based Access Control Model with Tenant Trust,,Navid Pustchi; Ravi Sandhu,Lecture notes in computer science,2015,19,https://openalex.org/W2244776435,,W2244776435
10.1109/access.2022.3213645,Integrating Cyber Deception Into Attribute-Based Access Control (ABAC) for Insider Threat Detection,"Insider threat is an ever-present challenge to corporate security. The availability of knowledge and privileges to insiders makes it extremely difficult to prevent, detect or deter malicious insider activities. In the literature, several studies have proposed deception-based approaches to mitigate insider threats through different layers of corporate systems. However, the integration of access control and cyber deception methods has not been adequately discussed. In this paper, we integrate Attribute-based Access Control (ABAC) with honey-based deception techniques to effectively track insiders, particularly in the context of a dynamic work environment. To the best of our knowledge, this is the first study to design, implement and evaluate this integration. Our evaluation results show that the proposed framework reliably identifies sensitive attributes in the system and generates indistinguishable honey values to protect them with an average similarity score of 0.90 to the truth.",Manar Alohaly; Olusesi Balogun; Daniel Takabi,IEEE Access,2022,19,https://openalex.org/W4312954523,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09915585.pdf,W4312954523
10.1109/icoin50884.2021.9333894,Attribute-Based Access Control(ABAC) with Decentralized Identifier in the Blockchain-Based Energy Transaction Platform,"With the development of ICT technology, it has also been applied to the power grid, but as a target of hackers' attack, a security solution to protect the power grid is being studied. Attribute-based Access Control (ABAC) is one of the most commonly used security solutions by providing granular and flexible access control, but it threatens privacy because it determines access control based on user attribute values. With user privacy emerging as a new topic, Decentralized Identity(DID) is emerging as a new alternative for protecting user privacy. In this paper, we propose a DID-based ABAC to solve the problem of ABAC's privacy exposure and apply it to a power transaction platform.",Beomseok Kim; Woonseob Shin; DongYeop Hwang; Ki‐Hyung Kim,,2021,14,https://openalex.org/W3128934660,,W3128934660
10.1109/iscc.2013.6754936,T-ABAC: An attribute-based access control model for real-time availability in highly dynamic systems,"In highly dynamic systems resources may have to be accessed in real-time, within the strict time limits of underlying physical processes, with availability becoming critical. Current access control models such as RBAC and ABAC do not address real-time availability in a scalable way for such scenarios. In this paper we propose a real-time attribute-based access control model that extends the functionality of ABAC by using real-time attributes that reflect the requirements of critical applications. We describe two applications of our model: (a) a substation automation system, and (b) a medical cyber-physical system.",Mike Burmester; Emmanouil Magkos; Vassilis Chrissikopoulos,,2013,15,https://openalex.org/W2072226969,,W2072226969
10.1007/978-3-319-51966-1_21,Strategies for Incorporating Delegation into Attribute-Based Access Control (ABAC),,Daniel Servos; Sylvia L. Osborn,Lecture notes in computer science,2016,7,https://openalex.org/W2566934801,,W2566934801
10.1109/mc.2015.33,Attribute-Based Access Control,"Attribute-based access control (ABAC) is a flexible approach that can implement AC policies limited only by the computational language and the richness of the available attributes, making it ideal for many distributed or rapidly changing environments.",Vincent C. Hu; D. Richard Kuhn; David F. Ferraiolo; Jeffrey Voas,Computer,2015,525,https://openalex.org/W2087834864,,W2087834864
10.1109/lcn.2014.6925791,LSD-ABAC: Lightweight static and dynamic attributes based access control scheme for secure data access in mobile environment,"Technology advancements in smart mobile devices empower mobile users by enhancing mobility, customizability and adaptability of computing environments. Mobile devices are now intelligent enough to capture dynamic attributes such as unlock failures, application usage, location and proximity of devices in and around its surrounding environment. Different users will have different set of values for these dynamic attributes. In traditional attribute based access control, users are authenticated to access restricted data using long term static attributes such as password, roles, and physical location. In this paper, in order to allow secure data access in mobile environment, we securely combine both the dynamic and static attributes and develop novel access control technique. Security and performance analyse show that the proposed scheme substantially reduces the computational complexity while enhances the security compare to the conventional schemes.",Fei Li; Yogachandran Rahulamathavan; Muttukrishnan Rajarajan,,2014,16,https://openalex.org/W2013771490,,W2013771490
10.1007/s12083-023-01486-w,Attribute based access control (ABAC) scheme with a fully flexible delegation mechanism for IoT healthcare,,Pooja Choksy; Akhil Chaurasia; Udai Pratap Rao; Sonu Kumar,Peer-to-Peer Networking and Applications,2023,10,https://openalex.org/W4376277837,,W4376277837
10.1007/978-3-642-31540-4_4,"A Unified Attribute-Based Access Control Model Covering DAC, MAC and RBAC",,Xin Jin; Ram Krishnan; Ravi Sandhu,Lecture notes in computer science,2012,388,https://openalex.org/W2097171586,,W2097171586
10.1109/wi-iat.2012.268,CA-ABAC: Class Algebra Attribute-Based Access Control,"We propose a trust framework model for an educational cloud which is designed to overcome inequalities of M-shaped incomes by simplifying contract-based sharing of resources among multiple schools. We use class algebra, which is similar to SROIQ(D) description logic, as the access control policy language. Benefiting from the high expressivity of class algebra, our model can use implicit relations and reasoning to enforce access control that corresponds to the contracts. The security mechanism allows one-time user login to obtain all of this userâs credentials for accessing services. In addition, our model can select appropriate material to adapt to the level of the student by adding the classification information to the attributes of the educational material and the student, and integrating this information into the access control policy to build an exclusive learning graph for each student.",Daniel J. Buehrer; Chun-Yao Wang,2012 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,2012,8,https://openalex.org/W1996081132,,W1996081132
10.5281/zenodo.1465632,Attribute-Based Access Control (Abac) For Ehr In Fog Computing Environment,"Cisco recently proposed a new computing environment called fog computing to support latency-sensitive and real time applications. It is a connection of billions of devices nearest to the network edge. This computing will be appropriate for Electronic Medical Record (EMR) systems that are latency-sensitive in nature. In this paper, we aim to achieve two goals: (1) Managing and sharing Electronic Health Records (EHRs) between multiple fog nodes and cloud, (2) Focusing on security of EHR, which contains highly confidential information. So, we will secure access into EHR on Fog computing without effecting the performance of fog nodes. We will cater different users based on their attributes and thus providing Attribute Based Access Control ABAC into the EHR in fog to prevent unauthorized access. We focus on reducing the storing and processes in fog nodes to support low capabilities of storage and computing of fog nodes and improve its performance.",Seyed M. Buhari Aisha Mohammed Alshiky,Zenodo (CERN European Organization for Nuclear Research),2018,6,https://openalex.org/W4289376787,,W4289376787
10.1109/sysco.2016.7831324,A formal specification approach of Privacy-aware Attribute Based Access Control (Pa-ABAC) model for cloud computing,"The ability to share services and information between departments, partners, customers and other stakeholders of the company's ecosystem is one of the major advantages of cloud computing. The effective deployment of a cloud must be built around the secure and efficient management of user access to resources and data protection against unauthorized disclosure. The Privacy element concerned the protection of the Personal Information Identity (PII) against unauthorized disclosures, which is considered a critical requirement for many enterprises. The traditional access control models that are identity based does not support the privacy requirements and inflexible. In this paper, we propose a new model called Privacy-aware Attribute Based Access Control (Pa-ABAC), the extension of the Attribute Based Access Control (ABAC) model, to express privacy requirements. Our objective is to formally specify the behavior of different elements of the proposed model in a cloud environment. This is very important to develop a valid security policy for a cloud environment free from specification errors and inconsistencies.",Maryam Ed-daibouni; Adil Lebbat; S. Tallal; Hicham Medromi,,2016,8,https://openalex.org/W2581750635,,W2581750635
,Attribute Based Access Control (ABAC) Definition and Considerations,,Vincent C. Hu,,2014,6,https://openalex.org/W2728062039,,W2728062039
10.1109/coconet.2015.7411221,Policy based Role Centric Attribute Based Access Control model Policy RC-ABAC,"As network speed and storage capacities are rising faster and higher, the remote storage and `cloud' concept is gaining momentum and is becoming increasingly popular with personal users as well as business users. At the same time, privacy awareness and business confidentially are important factors in every cloud and data sharing decision. For these and other reasons, the concept of access control models was developed in order to present complete solutions for privacy and confidentiality control in modern systems. Various access controls methodologies have been suggested in the literature, each simplifying and providing flexibility to previous methods. In this paper we will focus on two main methods which are Role Based Access Control (RBAC) and Attribute Based Access Control (ABAC). We will discuss the benefits and drawbacks of each of them, and therefore the need for a novel approach that combines the benefits of these two techniques. We are proposing a different hybrid model and justify how our suggested model and present why we think our suggested model (Policy RC-ABAC) will be more beneficiary in relation to a specific set of needs focusing on flexibility and auditability.",Vijayaraghavan Varadharajan; Alon Amid; Sudhanshu Rai,,2015,6,https://openalex.org/W2292876478,,W2292876478
10.1109/access.2020.2968492,Fabric-iot: A Blockchain-Based Access Control System in IoT,"IoT devices have some special characteristics, such as mobility, limited performance, and distributed deployment, which makes it difficult for traditional centralized access control methods to support access control in current large-scale IoT environment. To address these challenges, this paper proposes an access control system in IoT named fabric-iot, which is based on Hyperledger Fabric blockchain framework and attributed based access control (ABAC). The system contains three kinds of smart contracts, which are Device Contract (DC), Policy Contract (PC), and Access Contract (AC). DC provides a method to store the URL of resource data produced by devices, and a method to query it. PC provides functions to manage ABAC policies for admin users. AC is the core program to implement an access control method for normal users. Combined with ABAC and blockchain technology, fabric-iot can provide decentralized, fine-grained and dynamic access control management in IoT. To verify the performance of this system, two groups of simulation experiments are designed. The results show that fabric-iot can maintain high throughput in large-scale request environment and reach consensus efficiently in a distributed system to ensure data consistency.",Han Liu; Dezhi Han; Dun Li,IEEE Access,2020,301,https://openalex.org/W3002399415,https://ieeexplore.ieee.org/ielx7/6287639/8948470/08964343.pdf,W3002399415
10.1145/1029133.1029140,A logic-based framework for attribute based access control,"Attribute based access control (ABAC) grants accesses to services based on the attributes possessed by the requester. Thus, ABAC differs from the traditional discretionary access control model by replacing the subject by a set of attributes and the object by a set of services in the access control matrix. The former is appropriate in an identity-less system like the Internet where subjects are identified by their characteristics, such as those substantiated by certificates. These can be modeled as attribute sets. The latter is appropriate because most Internet users are not privy to method names residing on remote servers. These can be modeled as sets of service options. We present a framework that models this aspect of access control using logic programming with set constraints of a computable set theory [DPPR00]. Our framework specifies policies as stratified constraint flounder-free logic programs that admit primitive recursion. The design of the policy specification framework ensures that they are consistent and complete. Our ABAC policies can be transformed to ensure faster runtimes.",Lingyu Wang; Duminda Wijesekera; Sushil Jajodia,,2004,264,https://openalex.org/W2124228505,,W2124228505
10.1002/10.6028/nist.sp.800-162,Guide to Attribute Based Access Control (ABAC) Definition and Considerations [includes updates as of 02-25-2019],,Chung Tong Hu; David F. Ferraiolo; David R. Kuhn; Adam Schnitzer; Kenneth Sandlin; Robert R. Miller; Karen Scarfone,,2019,10,https://openalex.org/W3022022488,,W3022022488
10.1007/978-3-319-77525-8_100017,Attribute-Based Access Control (ABAC),,Sherif Sakr; Albert Y. Zomaya,Encyclopedia of Big Data Technologies,2019,3,https://openalex.org/W4232289100,,W4232289100
10.1016/j.procs.2024.05.090,ABAC-PA2: Attribute-Based Access Control Model with Privacy aware Anonymous Access,"Cloud computing offers an excellent platform for sharing information and services among departments, partners, customers, and other parties. To ensure the effectiveness of a cloud deployment, it is imperative that resources and data are available in a secure and efficient manner. The protection of personally identifiable information (PII) is a critical requirement for many organizations in order to prevent unauthorized disclosure of that information. In spite of the fact that private information may not be stored within an authorized organization, it can still be protected. It has been shown in recent literature that anonymity can be used to preserve PII privacy. The current methodology for anonymous access is based on certificates rather than subject identity or attribute-based encryption. Identity-based access control is inflexible and violates privacy laws. Access to a certificate can be linked using a certificate that poses a risk of re-identification. The types of objects that can be encrypted by attributes are limited. To preserve the privacy of attributes set of subject and object, we extend the attribute-based access control (ABAC) model by expressing privacy requirements with anonymous access. It inherits several characteristics from ABAC, including fine-grained authorizations, unlimited object types, policy flexibility, and object privacy. ABAC-PA2 uses homomorphic attribute-based signature (HABS), a secure anonymous access framework that enhances ABAC's identity-less and incorporates privacy-preserving principles by assigning privacy levels to resources.",Gayatri K Chaturvedi; Mahesh Shirole,Procedia Computer Science,2024,3,https://openalex.org/W4399209567,,W4399209567
10.1145/3007204,Current Research and Open Problems in Attribute-Based Access Control,"Attribute-based access control (ABAC) is a promising alternative to traditional models of access control (i.e., discretionary access control (DAC), mandatory access control (MAC), and role-based access control (RBAC)) that is drawing attention in both recent academic literature and industry application. However, formalization of a foundational model of ABAC and large scale adoption is still in its infancy. The relatively recent emergence of ABAC still leaves a number of problems unexplored. Issues like delegation, administration, auditability, scalability, hierarchical representations, and the like, have been largely ignored or left to future work. This article provides a basic introduction to ABAC and a comprehensive review of recent research efforts toward developing formal models of ABAC. A taxonomy of ABAC research is presented and used to categorize and evaluate surveyed articles. Open problems are identified based on the shortcomings of the reviewed works and potential solutions discussed.",Daniel Servos; Sylvia L. Osborn,ACM Computing Surveys,2017,240,https://openalex.org/W2566006170,,W2566006170
10.1109/compe53109.2021.9752139,Review of Attribute Based Access Control (ABAC) Models for Cloud Computing,"Attribute-Based Encryption (ABE) is one of the new dreams for fine grained access control in cloud computing. A lot of exploration work has been done in both academic and industrial communities. Be that as it may, before ABE can be conveyed in information outsourcing frameworks, efficient enforcement of authorization policies and strategy refreshes are the principal obstacles. Consequently, to take care of this issue, efficient and secure attribute and client revocation ought to be proposed in unique ABE plot, which is yet a test in existing work. In this paper, they propose another cipher text-strategy ABE (CP-ABE) development with efficient attribute and client revocation, which generally eliminates the overhead calculation at information administration chief and information proprietor. Additionally, we present an efficient access control component based on the CP-ABE development with one outsourcing calculation specialist co-op.",Dilawar Singh; Shweta Sinha; Vikas Thada,2021 International Conference on Computational Performance Evaluation (ComPE),2021,5,https://openalex.org/W4226458559,,W4226458559
10.1109/iccit63348.2025.10989392,"Zero Trust Implementation for Legacy Systems using Dynamic Microsegmentation, Role-Based Access Control (RBAC), and Attribute-Based Access Control (ABAC)","This paper, titled “Zero Trust Implementation for Legacy Systems using Dynamic Microsegmentation, Role-Based Access Control (RBAC), and Attribute-Based Access Control (ABAC),” addresses the critical cybersecurity challenges legacy systems pose. Legacy infrastructures, integral to numerous organizations, exhibit vulnerabilities due to obsolete security architectures. The paper proposes a novel approach by implementing a Zero Trust framework, incorporating dynamic microsegmentation, Role-Based Access Control (RBAC), and Attribute-Based Access Control (ABAC). The objective is to establish a resilient security posture that adapts to real-time network changes, user behaviour, and evolving threat landscapes. The paper encompasses a comprehensive literature review, prototype design, and critical evaluation. The technical artefact, a prototype, showcases the application of cutting-edge cybersecurity concepts tailored for legacy systems. Ethical considerations guide the responsible development and evaluation of the prototype. The paper's forward-looking approach, including recommendations for enhancements, positions it as a valuable contribution to advancing cybersecurity practices in legacy environments.",Adedayo Jalil Bello; Muhammad Diyan; Ikram Asghar,,2025,3,https://openalex.org/W4410553376,,W4410553376
10.17781/p002451,Comparison of Attribute Based Access Control (ABAC) Model and Rule Based Access (RBAC) to Digital Evidence Storage (DES),,Moh Fadly Panende; The Society of Digital Information and Wireless Communication,International Journal of Cyber-Security and Digital Forensics,2018,5,https://openalex.org/W2809991139,,W2809991139
10.5121/csit.2017.70209,EHR Attribute-Based Access Control (ABAC) for Fog Computing Environment,"Cisco recently proposed a new computing environment called fog computing to support latencysensitive and real time applications.It is a connection of billions of devices nearest to the network edge.This computing will be appropriate for Electronic Medical Record (EMR) systems that are latency-sensitive in nature.In this paper, we aim to achieve two goals: (1) Managing and sharing Electronic Health Records (EHRs) between multiple fog nodes and cloud, (2) Focusing on security of EHR, which contains highly confidential information.So, we will secure access into EHR on Fog computing without effecting the performance of fog nodes.We will cater different users based on their attributes and thus providing Attribute Based Access Control ABAC into the EHR in fog to prevent unauthorized access.We focus on reducing the storing and processes in fog nodes to support low capabilities of storage and computing of fog nodes and improve its performance.",Aisha Mohmmed Alshiky; Seyed M. Buhari; Ahmed Barnawi,,2017,2,https://openalex.org/W2586630689,https://doi.org/10.5121/csit.2017.70209,W2586630689
10.5121/ijccsa.2017.7102,Attribute Based Access Control (ABAC) for HER in Fog Computing Environment,"&lt;p&gt;Cisco recently proposed a new computing environment called fog computing to support latency-sensitive and real time applications. It is a connection of billions of devices nearest to the network edge. This computing will be appropriate for Electronic Medical Record (EMR) systems that are latency-sensitive in nature. In this paper, we aim to achieve two goals: (1) Managing and sharing Electronic Health Records (EHRs) between multiple fog nodes and cloud, (2) Focusing on security of EHR, which contains highly confidential information. So, we will secure access into EHR on Fog computing without effecting the performance of fog nodes. We will cater different users based on their attributes and thus providing Attribute Based Access Control ABAC into the EHR in fog to prevent unauthorized access. We focus on reducing the storing and processes in fog nodes to support low capabilities of storage and computing of fog nodes and improve its performance.&lt;/p&gt;",Aisha Mohmmed Alshiky; Seyed M. Buhari; Ahmed Barnawi,International Journal on Cloud Computing Services and Architecture,2017,2,https://openalex.org/W2594331887,https://doi.org/10.5121/ijccsa.2017.7102,W2594331887
10.1007/978-3-030-73689-7_80,A Hybrid Policy Engineering Approach for Attribute-Based Access Control (ABAC),,Manar Alohaly; Daniel Takabi,Advances in intelligent systems and computing,2021,2,https://openalex.org/W3153196891,,W3153196891
10.1109/tdsc.2014.2369048,Mining Attribute-Based Access Control Policies,"Attribute-based access control (ABAC) provides a high level of flexibility that promotes security and information sharing. ABAC policy mining algorithms have potential to significantly reduce the cost of migration to ABAC, by partially automating the development of an ABAC policy from an access control list (ACL) policy or role-based access control (RBAC) policy with accompanying attribute data. This paper presents an ABAC policy mining algorithm. To the best of our knowledge, it is the first ABAC policy mining algorithm. Our algorithm iterates over tuples in the given user-permission relation, uses selected tuples as seeds for constructing candidate rules, and attempts to generalize each candidate rule to cover additional tuples in the user-permission relation by replacing conjuncts in attribute expressions with constraints. Our algorithm attempts to improve the policy by merging and simplifying candidate rules, and then it selects the highest-quality candidate rules for inclusion in the generated policy.",Zhongyuan Xu; Scott D. Stoller,IEEE Transactions on Dependable and Secure Computing,2014,147,https://openalex.org/W2962744771,,W2962744771
